energy lower median upper
0.59396 7.1225 8.0401 8.8945
0.64325 7.0938 8.0077 8.8945
0.69707 7.9113 8.3042 8.9305
0.75949 8.7167 9.076 9.6041
0.81793 8.5079 9.003 9.5654
0.8961 9.2239 9.7212 10.1629
0.9599 9.8397 10.3264 10.8415
1.0456 10.3264 10.7542 11.3341
1.1328 10.7542 11.2429 11.897
1.234 11.2429 11.7537 12.3875
1.3219 12.589 13.215 13.871
1.5598 13.268 13.815 14.501
1.7089 13.322 13.927 14.56
1.8511 13.704 14.384 15.099
1.9939 14.917 15.658 16.369
2.99 17.183 18.404 19.712
3.2394 19.085 20.196 21.371
3.5299 20.775 21.895 23.169
3.8227 20.442 21.984 23.452
4.3105 23.357 24.917 26.367
4.86 23.076 25.425 27.788
5.2652 25.221 27.676 30.494
6.2146 26.58 32.794 38.545
6.7232 20.36 28.817 37.622
