x,high,median,low
3.331,17.2888,16.9873,16.7279
3.8864,19.1709,18.8367,18.5083
4.4389,21.0719,20.7045,20.2988
4.9639,21.9708,21.5877,21.258
5.5506,23.2634,22.8076,22.4592
6.0762,24.2558,23.9379,23.5205
6.6518,24.9043,24.5239,24.1494
7.2033,27.134,26.6609,26.3115
7.7591,29.5634,29.1119,28.5415
8.3155,29.759,29.176,28.7936
8.8633,31.1653,30.6219,30.088
9.3978,31.7882,31.3027,30.6893
10.0187,31.5792,30.9604,30.2206
10.5662,32.3522,31.7882,30.9604
11.0839,33.6583,33.2172,32.2812
11.6886,35.4821,34.9402,33.9556
12.2612,36.996,35.7955,34.8634
12.7955,36.753,35.5602,34.7869
13.3538,35.9533,34.4823,33.5106
14.0072,38.068,36.753,35.4821
14.7727,39.086,38.236,37.077
16.003,38.068,36.833,35.4821
17.706,39.605,38.489,37.405
20.997,40.933,39.605,38.32
25.981,42.962,40.664,38.152
30.97,45.69,41.843,37.818
40.428,45.19,40.131,35.1714
