#energy_low energy_med energy_high lower median upper
4.0282 5.5124 6.9645 28.241 30.866 33.463
7.1285 8.5558 10.095 34.284 37.319 40.134
10.154 11.124 11.98 36.573 39.811 43.687
12.051 16.211 19.793 32.926 42.469 52.608
21.2 23.226 24.034 44.578 46.982 49.515
23.898 25.014 26.332 44.759 47.555 50.322
28.518 29.849 32.146 43.864 45.857 47.94
31.415 33.449 34.614 39.49 42.469 45.672
35.21 36.853 39.239 39.49 41.62 43.864
39.462 41.778 44.483 37.927 41.285 44.041
46.017 53.372 60.855 34.422 36.278 37.927
51.295 56.195 59.494 34.842 39.331 43.687
60.518 65.176 70.593 32.794 38.857 44.22
61.174 71.767 81.827 27.676 30.126 32.926
83.165 97.57 111.24 17.462 21.199 24.917
