#energy_low energy_med energy_high lower median upper
3.022 3.1983 3.3555 18.815 19.124 19.565
3.3842 3.566 3.7413 20.879 21.361 21.782
3.757 3.9417 4.1174 22.945 23.246 23.859
4.0995 4.2636 4.4343 23.039 23.396 23.857
4.4337 4.6314 4.7749 24.806 25.131 25.711
4.8587 4.9876 5.1198 25.13 25.709 26.302
5.2321 5.3709 5.5133 26.645 27.171 27.707
5.5128 5.7086 5.8855 27.977 28.344 28.998
5.9109 6.0942 6.2285 28.714 29.28 29.956
6.3378 6.4776 6.5915 29.715 30.15 31.148
6.6489 6.8252 6.9453 30.643 31.248 32.177
6.9751 7.1914 7.3179 31.862 32.386 33.241
7.3818 7.5117 7.7446 32.384 33.023 33.895
7.744 7.8803 8.0191 33.455 34.338 35.359
8.0541 8.2317 8.3401 33.236 34.225 35.473
8.3765 8.6362 8.7118 33.126 34.447 35.587
8.7487 8.9808 9.0595 35.585 36.883 38.229
9.0991 9.2998 9.5881 35.353 36.762 38.227
9.546 9.7139 9.8848 35.815 37.608 38.853
9.8842 10.0581 10.2799 37.241 38.852 40.532
10.1897 10.4145 10.5978 38.977 40.663 42.283
10.5979 10.7844 11.3143 38.723 40.529 42.558
11.263 11.461 11.714 42.417 44.686 46.923
11.613 11.921 12.025 39.871 42.832 45.418
11.921 12.183 12.398 40.789 43.676 46.768
12.343 12.616 12.894 40.787 44.392 48.001
12.727 13.064 13.236 39.223 43.108 47.071
13.119 13.35 13.585 43.815 48.155 52.41
13.885 14.068 14.315 41.859 46.609 51.729
14.129 14.567 14.759 41.587 47.373 53.039
14.502 14.757 15.082 43.81 50.396 56.85
14.889 15.151 15.351 38.709 45.407 52.603
15.281 15.551 15.893 41.992 49.741 57.218
16.031 16.384 16.528 42.819 52.742 62.069
